Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=492;4*a(1)""","",0,3196,3355,1605632,423,1,0,8,25238
"bc -le ""scale=492;4*a(1)""","",0,3178,3392,1605632,423,1,0,8,25215
"bc -le ""scale=492;4*a(1)""","",0,3188,3460,1605632,423,1,0,7,25436
"bc -le ""scale=492;4*a(1)""","",0,3149,3274,1605632,423,1,0,6,25496
"bc -le ""scale=492;4*a(1)""","",0,3165,1670,1605632,423,1,0,7,25330
"bc -le ""scale=492;4*a(1)""","",0,3164,2982,1605632,423,1,0,6,25322
"bc -le ""scale=492;4*a(1)""","",0,3196,3396,1605632,426,1,0,7,25058
"bc -le ""scale=492;4*a(1)""","",0,3173,3427,1605632,423,1,0,8,25459
"bc -le ""scale=492;4*a(1)""","",0,3170,3360,1605632,423,1,0,7,24947
"bc -le ""scale=492;4*a(1)""","",0,3166,1730,1605632,423,1,0,8,25416
"bc -le ""scale=492;4*a(1)""","",0,3162,3433,1605632,423,1,0,6,25114
"bc -le ""scale=492;4*a(1)""","",0,3165,3456,1605632,423,1,0,6,25534
"bc -le ""scale=492;4*a(1)""","",0,3178,3459,1605632,425,1,0,7,25036
"bc -le ""scale=492;4*a(1)""","",0,3163,1524,1605632,424,1,0,9,25422
"bc -le ""scale=492;4*a(1)""","",0,3106,3184,1605632,424,1,0,7,24911
"bc -le ""scale=492;4*a(1)""","",0,3319,1493,1605632,424,1,0,2,26468
"bc -le ""scale=492;4*a(1)""","",0,3308,1403,1605632,424,1,0,3,27638
"bc -le ""scale=492;4*a(1)""","",0,3210,3478,1605632,424,1,0,8,26463
"bc -le ""scale=492;4*a(1)""","",0,3273,3119,1769472,434,1,0,7,28395
"bc -le ""scale=492;4*a(1)""","",0,3186,1453,1605632,425,1,0,3,26546
"bc -le ""scale=492;4*a(1)""","",0,3144,3416,1605632,424,1,0,8,25594
"bc -le ""scale=492;4*a(1)""","",0,3136,3208,1605632,424,1,0,6,25119
"bc -le ""scale=492;4*a(1)""","",0,3166,3385,1605632,424,1,0,8,27235
