Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=690;4*a(1)""","",0,6278,1793,1605632,424,1,0,8,28596
"bc -le ""scale=690;4*a(1)""","",0,6506,3364,2031616,457,1,0,5,28833
"bc -le ""scale=690;4*a(1)""","",0,6303,3433,1605632,424,1,0,8,28799
"bc -le ""scale=690;4*a(1)""","",0,6278,3441,1605632,427,1,0,9,28563
"bc -le ""scale=690;4*a(1)""","",0,6269,1817,1605632,424,1,0,7,28462
"bc -le ""scale=690;4*a(1)""","",0,6274,2204,1605632,424,1,0,9,28558
"bc -le ""scale=690;4*a(1)""","",0,6250,3369,1605632,424,1,0,8,28543
"bc -le ""scale=690;4*a(1)""","",0,6276,2834,1605632,424,1,0,8,28691
"bc -le ""scale=690;4*a(1)""","",0,6300,3398,1605632,424,1,0,9,28565
"bc -le ""scale=690;4*a(1)""","",0,6364,3459,1605632,426,1,0,8,28526
"bc -le ""scale=690;4*a(1)""","",0,6287,3342,1605632,425,1,0,8,28990
"bc -le ""scale=690;4*a(1)""","",0,6264,3455,1605632,425,1,0,9,28476
"bc -le ""scale=690;4*a(1)""","",0,6253,3297,1605632,425,1,0,6,28456
"bc -le ""scale=690;4*a(1)""","",0,6281,2580,1605632,425,1,0,7,28658
"bc -le ""scale=690;4*a(1)""","",0,6285,3360,1605632,425,1,0,8,28790
"bc -le ""scale=690;4*a(1)""","",0,6279,3450,1605632,425,1,0,9,28733
"bc -le ""scale=690;4*a(1)""","",0,6277,3319,1605632,426,1,0,8,28603
"bc -le ""scale=690;4*a(1)""","",0,6271,1742,1605632,425,1,0,6,28452
"bc -le ""scale=690;4*a(1)""","",0,6262,3401,1605632,425,1,0,7,28554
"bc -le ""scale=690;4*a(1)""","",0,6304,2580,1605632,425,1,0,8,28518
"bc -le ""scale=690;4*a(1)""","",0,6279,3463,1605632,425,1,0,7,28391
"bc -le ""scale=690;4*a(1)""","",0,6310,3307,1605632,425,1,0,6,28708
"bc -le ""scale=690;4*a(1)""","",0,6287,3356,1605632,425,1,0,5,28500
"bc -le ""scale=690;4*a(1)""","",0,6261,3299,1605632,425,1,0,7,28385
"bc -le ""scale=690;4*a(1)""","",0,6274,3453,1605632,426,1,0,8,28545
"bc -le ""scale=690;4*a(1)""","",0,6281,1526,1605632,425,1,0,7,28486
"bc -le ""scale=690;4*a(1)""","",0,6276,3293,1605632,425,1,0,7,28448
"bc -le ""scale=690;4*a(1)""","",0,6260,3411,1605632,425,1,0,8,29492
