Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=490;4*a(1)""","",0,3178,1609,1605632,425,1,0,8,24818
"bc -le ""scale=490;4*a(1)""","",0,3177,1534,1605632,425,1,0,6,24856
"bc -le ""scale=490;4*a(1)""","",0,3181,1814,1605632,425,1,0,7,24732
"bc -le ""scale=490;4*a(1)""","",0,3189,1973,1605632,425,1,0,6,24661
"bc -le ""scale=490;4*a(1)""","",0,3183,2422,1605632,425,1,0,7,24806
"bc -le ""scale=490;4*a(1)""","",0,3165,2703,1605632,425,1,0,8,24758
"bc -le ""scale=490;4*a(1)""","",0,3184,2978,1605632,426,1,0,9,24528
"bc -le ""scale=490;4*a(1)""","",0,3176,2944,1605632,425,1,0,8,24636
"bc -le ""scale=490;4*a(1)""","",0,3208,3424,1605632,425,1,0,8,24873
"bc -le ""scale=490;4*a(1)""","",0,3183,3380,1605632,425,1,0,8,24636
"bc -le ""scale=490;4*a(1)""","",0,3193,3432,1605632,425,1,0,9,24902
"bc -le ""scale=490;4*a(1)""","",0,3175,3294,1605632,425,1,0,7,24676
"bc -le ""scale=490;4*a(1)""","",0,3197,3471,1605632,425,1,0,7,24638
"bc -le ""scale=490;4*a(1)""","",0,3163,3426,1605632,425,1,0,3,24666
"bc -le ""scale=490;4*a(1)""","",0,3185,3445,1605632,425,1,0,7,24472
"bc -le ""scale=490;4*a(1)""","",0,3178,3427,1605632,425,1,0,9,24810
"bc -le ""scale=490;4*a(1)""","",0,3173,3337,1605632,425,1,0,7,24517
"bc -le ""scale=490;4*a(1)""","",0,3178,3435,1605632,425,1,0,10,24802
"bc -le ""scale=490;4*a(1)""","",0,3159,3343,1605632,425,1,0,7,24594
"bc -le ""scale=490;4*a(1)""","",0,3140,3385,1605632,425,1,0,7,24879
"bc -le ""scale=490;4*a(1)""","",0,3200,3471,1605632,425,1,0,8,24877
