Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=600;4*a(1)""","",0,4732,3310,1605632,426,1,0,6,26775
"bc -le ""scale=600;4*a(1)""","",0,4733,2036,1605632,425,1,0,9,26517
"bc -le ""scale=600;4*a(1)""","",0,4729,3380,1605632,425,1,0,7,26799
"bc -le ""scale=600;4*a(1)""","",0,4742,3417,1605632,425,1,0,6,26936
"bc -le ""scale=600;4*a(1)""","",0,4743,3434,1605632,425,1,0,8,26705
"bc -le ""scale=600;4*a(1)""","",0,4748,3464,1605632,425,1,0,10,27204
"bc -le ""scale=600;4*a(1)""","",0,4750,3336,1605632,425,1,0,8,26750
"bc -le ""scale=600;4*a(1)""","",0,4733,2117,1605632,425,1,0,9,26912
"bc -le ""scale=600;4*a(1)""","",0,4725,3459,1605632,425,1,0,7,26632
"bc -le ""scale=600;4*a(1)""","",0,4730,3390,1605632,425,1,0,5,26689
"bc -le ""scale=600;4*a(1)""","",0,4742,1535,1605632,425,1,0,7,26738
"bc -le ""scale=600;4*a(1)""","",0,4784,2584,1605632,425,1,0,8,26464
"bc -le ""scale=600;4*a(1)""","",0,4727,3489,1605632,425,1,0,10,27169
"bc -le ""scale=600;4*a(1)""","",0,4743,3470,1605632,425,1,0,8,26786
"bc -le ""scale=600;4*a(1)""","",0,4748,1728,1605632,425,1,0,9,26662
