Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
ps Au,,0,9471,30456,3112960,899,1,0,19,41491
ps Au,,0,9474,30460,2998272,891,1,0,19,41436
ps Au,,0,9485,30356,3145728,901,1,0,18,41426
ps Au,,0,9482,30235,2785280,878,1,0,17,41207
ps Au,,0,9497,30355,3342336,913,1,0,20,41447
ps Au,,0,9455,30282,3112960,899,1,0,15,41278
ps Au,,0,9483,30473,3096576,898,1,0,19,41523
ps Au,,0,10254,33914,4685824,995,1,0,35,46343
ps Au,,0,9935,32004,3145728,906,1,0,14,43386
ps Au,,0,9914,31865,3112960,904,1,0,19,43282
ps Au,,0,9725,31279,2785280,883,1,0,20,42628
ps Au,,0,9566,31060,3325952,912,1,0,26,42440
ps Au,,0,9511,30412,3112960,899,1,0,18,41532
ps Au,,0,9502,30341,3014656,892,1,0,16,41454
ps Au,,0,9495,30379,3145728,901,1,0,19,41360
ps Au,,0,9520,30425,3145728,901,1,0,17,41482
ps Au,,0,9464,30369,3145728,901,1,0,18,41276
ps Au,,0,9540,30623,2965504,889,1,0,18,41708
ps Au,,0,9467,30276,2916352,886,1,0,19,41271
ps Au,,0,9512,30302,3244032,907,1,0,17,41395
ps Au,,0,9486,30408,2965504,889,1,0,19,41540
ps Au,,0,9488,30446,3244032,907,1,0,17,41539
ps Au,,0,9462,30400,3014656,892,1,0,19,41603
ps Au,,0,9480,30383,3145728,901,1,0,17,41464
ps Au,,0,9474,30318,2785280,878,1,0,19,41352
ps Au,,0,9437,30290,2916352,886,1,0,18,41216
ps Au,,0,9467,30451,3325952,912,1,0,19,41506
ps Au,,0,9484,30260,3112960,899,1,0,17,41306
ps Au,,0,9461,30304,2785280,878,1,0,20,41285
ps Au,,0,9483,30457,2965504,889,1,0,19,41473
ps Au,,0,9484,30250,3014656,892,1,0,19,41207
ps Au,,0,9470,30448,2818048,880,1,0,18,41455
ps Au,,0,9423,30482,2785280,878,1,0,20,41489
ps Au,,0,9436,30269,3325952,912,1,0,19,41182
ps Au,,0,9465,30212,3014656,892,1,0,19,41200
ps Au,,0,9480,30701,3014656,892,1,0,21,41795
ps Au,,0,9457,30332,2785280,878,1,0,16,41331
ps Au,,0,9465,30270,2916352,886,1,0,17,41477
ps Au,,0,9472,30296,3014656,892,1,0,20,41355
ps Au,,0,9460,30427,3276800,909,1,0,20,41407
ps Au,,0,9484,30284,3145728,901,1,0,17,41349
ps Au,,0,9475,30451,2998272,891,1,0,18,41445
ps Au,,0,9470,30441,2785280,878,1,0,18,41417
